,duichanghao,hang,lie,x,y
5075,20,5,39,83321.86,-1241.6
5076,20,5,40,83955.06,-1241.7
5077,20,5,41,84588.26,-1241.8
5078,20,5,42,85221.46,-1241.9
5079,20,5,43,85854.66,-1242
5080,20,5,44,86487.86,-1242.1
5081,20,6,1,59261.4,-1516.3
5082,20,6,2,59894.6,-1516.4
5083,20,6,3,60527.8,-1516.5
5084,20,6,4,61161,-1516.6
5085,20,6,5,61794.2,-1516.7
5086,20,6,6,62427.4,-1516.8
5087,20,6,7,63060.6,-1516.9
5088,20,6,8,63693.8,-1517
5089,20,6,9,64327,-1517.1
5090,20,6,10,64960.2,-1517.2
5091,20,6,11,65593.4,-1517.3
5092,20,6,12,66226.6,-1517.4
5093,20,6,13,66859.8,-1517.5
5094,20,6,14,67493,-1517.6
5095,20,6,15,68126.2,-1517.7
5096,20,6,16,68759.4,-1517.8
5097,20,6,17,69392.6,-1517.9
5098,20,6,18,70025.8,-1518
5099,20,6,19,70659,-1518.1
5100,20,6,20,71292.2,-1518.2
5101,20,6,21,71925.4,-1518.3
5102,20,6,22,72558.6,-1518.4
5103,20,6,23,73191.8,-1518.5
5104,20,6,24,73825,-1518.6
5105,20,6,25,74458.2,-1518.7
5106,20,6,26,75091.4,-1518.8
5107,20,6,27,75724.6,-1518.9
5108,20,6,28,76357.8,-1519
5109,20,6,29,76991,-1519.1
5110,20,6,30,77624.2,-1519.2
5111,20,6,31,78257.4,-1519.3
5112,20,6,32,78890.6,-1519.4
5113,20,6,33,79523.8,-1519.5
5114,20,6,34,80157,-1519.6
5115,20,6,35,80790.2,-1519.7
5116,20,6,36,81423.4,-1519.8
5117,20,6,37,82056.6,-1519.9
5118,20,6,38,82689.8,-1520
5119,20,6,39,83323,-1520.1
5120,20,6,40,83956.2,-1520.2
5121,20,6,41,84589.4,-1520.3
5122,20,6,42,85222.6,-1520.4
5123,20,6,43,85855.8,-1520.5
5124,20,6,44,86489,-1520.6
5125,21,1,1,59262.9,-3393
5126,21,1,2,59896.1,-3393.1
5127,21,1,3,60529.3,-3393.2
5128,21,1,4,61162.5,-3393.3
5129,21,1,5,61795.7,-3393.4
5130,21,1,6,62428.9,-3393.5
5131,21,1,7,63062.1,-3393.6
5132,21,1,8,63695.3,-3393.7
5133,21,1,9,64328.5,-3393.8
5134,21,1,10,64961.7,-3393.9
5135,21,1,11,65594.9,-3394
5136,21,1,12,66228.1,-3394.1
